portfolio,type,model,alpha,t_alpha,abs_alpha,significant
SMALL LoBM,stock,one_factor,-0.46891819406262336,-1.6060472713258855,0.46891819406262336,False
ME1 BM2,stock,one_factor,0.030859585157677703,0.12619357022645453,0.030859585157677703,False
ME1 BM3,stock,one_factor,0.04227047803581816,0.17966443752227618,0.04227047803581816,False
ME1 BM4,stock,one_factor,0.2534119036908778,1.1029138994191239,0.2534119036908778,False
SMALL HiBM,stock,one_factor,0.4111310913405074,1.594447169040548,0.4111310913405074,False
ME2 BM1,stock,one_factor,-0.2885080171344174,-1.2387299454457614,0.2885080171344174,False
ME2 BM2,stock,one_factor,-0.005159176877954176,-0.02297747910331806,0.005159176877954176,False
ME2 BM3,stock,one_factor,0.20366913548057983,1.0698307048599334,0.20366913548057983,False
ME2 BM4,stock,one_factor,0.44322673133450763,2.2507313757154934,0.44322673133450763,True
ME2 BM5,stock,one_factor,0.3698252973145432,1.6008942186659492,0.3698252973145432,False
ME3 BM1,stock,one_factor,-0.25454936877467266,-1.3375581820648683,0.25454936877467266,False
ME3 BM2,stock,one_factor,0.3645759874907997,2.0744482920829728,0.3645759874907997,True
ME3 BM3,stock,one_factor,0.25436646769087934,1.4380645715556846,0.25436646769087934,False
ME3 BM4,stock,one_factor,0.391507742898726,2.2247898424902806,0.391507742898726,True
ME3 BM5,stock,one_factor,0.5377457846075436,2.7968549465758983,0.5377457846075436,True
ME4 BM1,stock,one_factor,-0.055332313578818335,-0.40715024360516994,0.055332313578818335,False
ME4 BM2,stock,one_factor,0.036380733089618436,0.2576698536145881,0.036380733089618436,False
ME4 BM3,stock,one_factor,0.2443190708418215,1.7345891922588448,0.2443190708418215,False
ME4 BM4,stock,one_factor,0.3366729556637459,2.0730269280877365,0.3366729556637459,True
ME4 BM5,stock,one_factor,0.4288152911550194,2.0156081802372787,0.4288152911550194,True
BIG LoBM,stock,one_factor,-0.048940550973706864,-0.4136940629821644,0.048940550973706864,False
ME5 BM2,stock,one_factor,-0.00017422408165655213,-0.0017963204819041567,0.00017422408165655213,False
ME5 BM3,stock,one_factor,-0.07812450931367752,-0.6952315729090115,0.07812450931367752,False
ME5 BM4,stock,one_factor,0.1077685326102628,0.7589848814696399,0.1077685326102628,False
BIG HiBM,stock,one_factor,0.23123167933894762,1.063016416260518,0.23123167933894762,False
SHORT_TERM,bond,one_factor,0.06276550016214569,25.91772658615707,0.06276550016214569,True
LONG_TERM,bond,one_factor,0.11789588226735935,17.579309051455958,0.11789588226735935,True
AAA,bond,one_factor,0.13830321833216616,20.2942078373768,0.13830321833216616,True
AA,bond,one_factor,0.1587105543969734,22.844307848657337,0.1587105543969734,True
A,bond,one_factor,0.1791178904617813,25.217602325473447,0.1791178904617813,True
BBB,bond,one_factor,0.19952522652658922,27.408593679121395,0.19952522652658922,True
LOW_GRADE,bond,one_factor,0.2199325625913966,29.417391891413843,0.2199325625913966,True
SMALL LoBM,stock,two_factor_bond,-4.9177119926451205,-3.2989870992951493,4.9177119926451205,True
ME1 BM2,stock,two_factor_bond,-4.522059614949518,-3.6086419296638708,4.522059614949518,True
ME1 BM3,stock,two_factor_bond,-4.873669126796562,-4.060377173963683,4.873669126796562,True
ME1 BM4,stock,two_factor_bond,-4.357967640568293,-3.8173611393088462,4.357967640568293,True
SMALL HiBM,stock,two_factor_bond,-4.1769002592682565,-3.4806464295552773,4.1769002592682565,True
ME2 BM1,stock,two_factor_bond,-3.779604891822851,-2.652504367713718,3.779604891822851,True
ME2 BM2,stock,two_factor_bond,-5.388703497367703,-4.3065519137224495,5.388703497367703,True
