portfolio,type,alpha,beta_Mkt-RF,t_Mkt-RF,r_squared
SMALL LoBM,stock,-0.46891819406262336,1.436609315277821,23.49061768049825,0.6641827904681523
ME1 BM2,stock,0.030859585157677703,1.2302683351169268,24.018258150317823,0.6740184748703835
ME1 BM3,stock,0.04227047803581816,1.1896609294714715,24.140300946145135,0.6762417604261242
ME1 BM4,stock,0.2534119036908778,1.1140632439855453,23.14829256671764,0.6576029414895523
SMALL HiBM,stock,0.4111310913405074,1.120797591613958,20.75159677576047,0.6068366837862138
ME2 BM1,stock,-0.2885080171344174,1.4664169558126308,30.058737962345788,0.7640647289530649
ME2 BM2,stock,-0.005159176877954176,1.2951946504911103,27.539212840514047,0.7310605524418973
ME2 BM3,stock,0.20366913548057983,1.171847375827395,29.38701052215771,0.7558192874846305
ME2 BM4,stock,0.44322673133450763,1.130444732153297,27.40574249056178,0.72914586273428
ME2 BM5,stock,0.3698252973145432,1.1619276752210432,24.01262482644956,0.6739153877567234
ME3 BM1,stock,-0.25454936877467266,1.322665786268847,33.18068105235041,0.7978198743272065
ME3 BM2,stock,0.3645759874907997,1.240458292238388,33.69700001863575,0.8027554582110414
ME3 BM3,stock,0.25436646769087934,1.1678873248851058,31.522016446367275,0.7807702543496124
ME3 BM4,stock,0.391507742898726,1.0490244301596345,28.45959779487666,0.743789585039968
ME3 BM5,stock,0.5377457846075436,1.0735276037783783,26.65634881506629,0.7180567755502585
ME4 BM1,stock,-0.055332313578818335,1.2359329159875814,43.41754734231665,0.8710770584074304
ME4 BM2,stock,0.036380733089618436,1.2305982888739957,41.61050531287644,0.8612240049404651
ME4 BM3,stock,0.2443190708418215,1.1297333642015286,38.29214909364358,0.8401410592735071
ME4 BM4,stock,0.3366729556637459,1.1179507857914563,32.86350766113666,0.7947035179122641
ME4 BM5,stock,0.4288152911550194,1.149938423335783,25.805064712980904,0.704731085824065
BIG LoBM,stock,-0.048940550973706864,0.9818578617461587,39.62356745759287,0.8491098371182557
ME5 BM2,stock,-0.00017422408165655213,1.0261005853544949,50.50799065706654,0.9014154173754376
ME5 BM3,stock,-0.07812450931367752,1.027480643066641,43.65262365592843,0.8722850006727103
ME5 BM4,stock,0.1077685326102628,1.009333814420677,33.936769367854176,0.804991152224736
BIG HiBM,stock,0.23123167933894762,1.0791065793755208,23.683806102904654,0.667826563729847
SHORT_TERM,bond,0.06276550016214569,0.00013431564833930675,0.26478723290899103,0.0002512353549405377
LONG_TERM,bond,0.11789588226735935,0.0035219176365386133,2.5071301413470413,0.022033005901086034
AAA,bond,0.13830321833216616,0.0038452983370229356,2.6937939666711395,0.02534973101897009
AA,bond,0.1587105543969734,0.0041686790375072245,2.8646078129806445,0.028571751819222002
A,bond,0.1791178904617813,0.004492059737991524,3.019290269780387,0.031640416133172256
BBB,bond,0.19952522652658922,0.004815440438475833,3.1580534338282624,0.0345128821225309
LOW_GRADE,bond,0.2199325625913966,0.005138821138960143,3.2815018378867613,0.03716160811894076
