portfolio,type,alpha,beta_TERM,t_TERM,beta_DEF,t_DEF,r_squared
SMALL LoBM,stock,-4.9177119926451205,0.36375687342135987,0.9695416469027144,3.5691187359995626,3.032970797753176,0.04307968751487612
ME1 BM2,stock,-4.522059614949518,0.5419763217245225,1.718405107118596,3.3948878794220816,3.431805368628723,0.06425469271320727
ME1 BM3,stock,-4.873669126796562,0.5736377422589671,1.8988287026500223,3.642862797305474,3.8445264803780064,0.07883912969176188
ME1 BM4,stock,-4.357967640568293,0.507473280755266,1.7661604767735304,3.45195499029878,3.830311349383259,0.07596988371110047
SMALL HiBM,stock,-4.1769002592682565,0.5205913601624629,1.7236159110169589,3.419622819657198,3.6097216716232596,0.06909276781641449
ME2 BM1,stock,-3.779604891822851,0.5230860212059577,1.458547420489001,2.6151445403569746,2.324850918184457,0.03462430857299559
ME2 BM2,stock,-5.388703497367703,0.6529702663735427,2.0733687020546125,3.958865695738634,4.007798453577659,0.08695321113387966
ME2 BM3,stock,-3.743266440264102,0.4595176980048657,1.6162749725124594,2.9822746077885056,3.3443568260063414,0.06022067066999326
ME2 BM4,stock,-3.539239069096509,0.4649868101640651,1.667843246026895,2.9940959214524305,3.42398835067888,0.0631661244357632
ME2 BM5,stock,-3.2767299298205597,0.44686245735913055,1.486952082016899,2.750189629023637,2.9176803862896343,0.04769293622385473
ME3 BM1,stock,-4.274471262916189,0.5237320127395783,1.6713491114071692,3.0067877659587454,3.0592347279973175,0.054057941049300506
ME3 BM2,stock,-4.179404601482567,0.4676937549700194,1.6125533654449467,3.4758240493762074,3.820870169240319,0.07297826576363109
ME3 BM3,stock,-3.5992369316374893,0.5022948781540514,1.8030305941771603,2.8561381832979773,3.268703541249847,0.0615552493472209
ME3 BM4,stock,-3.3710816328380724,0.36294903918642346,1.4178321028259337,2.9118051897255555,3.626548101508403,0.06438621509189746
ME3 BM5,stock,-2.8103848448944153,0.3923852381943177,1.4603074576023043,2.5474824419343154,3.022698384749667,0.04973419824450753
ME4 BM1,stock,-3.218023563880019,0.5601242447738279,1.992557690886682,2.2457789837510678,2.5470972001043726,0.048103467436784175
ME4 BM2,stock,-3.8436498358239914,0.42474249012552745,1.518443302274616,2.98321619233774,3.4002399922987654,0.06003041213323679
ME4 BM3,stock,-3.3631159562111606,0.49062536025752684,1.8901283435071123,2.6596381335160233,3.2667494363362892,0.0630989415160188
ME4 BM4,stock,-2.952030878398871,0.51643785992432,1.9458510335078758,2.367853321238006,2.8444498731161216,0.05386575067610044
ME4 BM5,stock,-3.170774840756095,0.5403420316239441,1.8627119037530269,2.6012499408773047,2.858979188290488,0.05268063923432231
BIG LoBM,stock,-2.3080797691128248,0.488214376715758,2.1527058435675612,1.528411075405764,2.148652948158174,0.0430386226718088
ME5 BM2,stock,-2.571806073092604,0.4033437584587531,1.7557438751913055,1.891574535087522,2.6251930874949836,0.04555808983729914
ME5 BM3,stock,-2.224414153449332,0.35922215333512475,1.5257872248398083,1.5971224317461739,2.162823321335935,0.03255693720495445
ME5 BM4,stock,-2.3174768079238675,0.38210477735144516,1.5914347363544916,1.7927308042142855,2.3805286825742744,0.037756996047844216
BIG HiBM,stock,-3.7443763121398255,0.4665521620265135,1.677529761952537,2.973389473783935,3.408582416228182,0.062932261538023
SHORT_TERM,bond,0.012573898880513044,0.01759415929745667,13.875544368161673,0.020110618173092225,5.861266888615008,0.49224031362431975
LONG_TERM,bond,0.0033834558921934234,0.0824033956737692,113.50705211402668,-0.0011391764196875807,-0.579900240768583,0.9775846614087992
AAA,bond,0.0033834558921916878,0.08240339567376928,113.50705211402713,0.015527490246979418,7.9043027727212545,0.9788024201314571
AA,bond,0.00338345589219147,0.0824033956737693,113.50705211402916,0.03219415691364591,16.38850578621113,0.9800904648329072
A,bond,0.003383455892191814,0.08240339567376986,113.5070521140302,0.04886082358031175,24.872708799700582,0.9814016765968973
BBB,bond,0.003383455892190784,0.08240339567377002,113.50705211402877,0.06552749024697892,33.3569118131902,0.9826985099728326
LOW_GRADE,bond,0.003383455892190811,0.08240339567376982,113.50705211403219,0.08219415691364566,41.84111482668132,0.9839532197762431
