Date,SMALL LoBM,ME1 BM2,ME1 BM3,ME1 BM4,SMALL HiBM,ME2 BM1,ME2 BM2,ME2 BM3,ME2 BM4,ME2 BM5,ME3 BM1,ME3 BM2,ME3 BM3,ME3 BM4,ME3 BM5,ME4 BM1,ME4 BM2,ME4 BM3,ME4 BM4,ME4 BM5,BIG LoBM,ME5 BM2,ME5 BM3,ME5 BM4,BIG HiBM
1963-07-01,1.1287,-0.3632,0.7223,-0.0413,-1.2447,-1.8076,0.1929,-1.0149,-1.9749,-1.188,-2.3527,-1.3247,-0.7383,-2.1329,-1.7526,-0.9115,-1.7733,-1.9168,-1.5745,-1.8574,0.1391,0.4839,1.136,-0.4285,-1.1045
1963-08-01,4.2396,1.373,1.4917,2.5068,4.6644,5.5703,4.522,4.445,4.4662,8.2451,5.0879,5.3055,5.3831,4.8413,5.1562,5.5754,4.7469,6.2516,7.6941,5.3456,5.7823,4.2633,4.6341,8.1704,6.3984
1963-09-01,-1.7343,0.6204,-1.0007,-1.5215,-0.3584,-4.0525,-1.5072,-0.8638,-1.4935,-2.9243,-4.3315,-1.799,-0.3303,-0.9741,-1.8327,-2.6644,-2.1463,-1.7882,-3.9641,-2.0002,-1.3752,-0.8081,-0.8497,-0.1912,-3.5033
1963-10-01,0.3778,-0.7329,1.3066,0.1904,2.3711,1.1926,4.2411,2.3526,2.3058,3.9314,2.3951,0.423,2.7461,2.5239,1.0696,-0.2415,0.699,2.5214,4.8524,0.6138,5.3261,1.742,-0.3354,2.4176,0.4702
1963-11-01,-3.3319,-3.8436,-1.7893,-1.0535,-1.1077,-4.2596,-1.7484,-0.7845,-0.0554,-0.115,-2.9957,-1.3781,-1.0492,-0.8066,-1.2163,-0.9083,-0.6311,-0.7516,1.3596,3.5407,-1.2669,1.008,-1.6914,-2.1316,1.3496
1963-12-01,-2.3435,-0.9565,-0.9366,-1.6555,-0.9997,-0.8693,-0.7582,1.0284,0.8358,0.113,0.2946,1.6992,1.3412,1.5966,0.4638,-0.1562,1.2207,1.7398,3.2888,6.1681,2.6568,2.3223,2.1885,2.5147,2.1354
1964-01-01,3.8925,2.8728,4.222,4.0493,4.9503,-2.029,-0.4915,3.6368,1.5616,4.1813,0.0993,0.5507,2.7314,3.8647,3.2166,-0.4314,1.8531,1.2448,3.6021,3.3329,3.0631,3.1961,1.6725,2.0134,1.6236
1964-02-01,2.8826,2.819,2.3024,0.3336,4.4744,1.6198,1.7294,2.6131,2.1453,6.1043,0.1236,3.026,1.6322,3.7531,4.014,2.5943,1.5619,2.8444,7.2047,4.6121,1.8271,0.5232,1.0194,3.9989,3.7567
1964-03-01,0.4753,1.4861,2.0712,3.7018,2.5228,2.3518,3.2064,3.3567,5.6606,6.1622,-0.8109,2.9838,4.3441,5.5647,6.7719,1.775,2.9767,5.2497,7.1287,0.7247,1.1575,0.7635,3.6237,3.8382,0.1491
1964-04-01,-1.5767,2.6118,-0.4566,-0.9186,-0.753,-0.9122,-3.8847,0.757,-1.6687,-0.6575,-2.0805,-1.2453,0.2874,-0.7634,-1.0248,-2.7045,0.3434,1.9784,-2.6384,-2.2805,0.2272,1.4745,0.8082,-0.9054,2.4147
