portfolio,type,model,alpha,t_alpha,abs_alpha,significant
SMALL LoBM,stock,one_factor,-0.2688807731404584,-1.159134737278242,0.2688807731404584,False
ME1 BM2,stock,one_factor,0.15582177835089936,0.773317102967174,0.15582177835089936,False
ME1 BM3,stock,one_factor,0.26471129925471293,1.430931838453508,0.26471129925471293,False
ME1 BM4,stock,one_factor,0.4275362551257099,2.3709902231786875,0.4275362551257099,True
SMALL HiBM,stock,one_factor,0.5380523552717085,2.638040013249471,0.5380523552717085,True
ME2 BM1,stock,one_factor,-0.1922174657316611,-1.1007369506405,0.1922174657316611,False
ME2 BM2,stock,one_factor,0.13895938427107918,0.9148532232914321,0.13895938427107918,False
ME2 BM3,stock,one_factor,0.3844474323973469,2.6769184837364826,0.3844474323973469,True
ME2 BM4,stock,one_factor,0.4752836787985154,3.5099916881010396,0.4752836787985154,True
ME2 BM5,stock,one_factor,0.5191691406533637,3.0777971530432673,0.5191691406533637,True
ME3 BM1,stock,one_factor,-0.11687605453919027,-0.8702568930114722,0.11687605453919027,False
ME3 BM2,stock,one_factor,0.17238216424172537,1.472906000594934,0.17238216424172537,False
ME3 BM3,stock,one_factor,0.2521734561280757,2.1945675733594006,0.2521734561280757,True
ME3 BM4,stock,one_factor,0.42614035409825857,3.735553936180145,0.42614035409825857,True
ME3 BM5,stock,one_factor,0.4819905597292283,3.0721890067555804,0.4819905597292283,True
ME4 BM1,stock,one_factor,-0.04058829518993563,-0.3973206624796489,0.04058829518993563,False
ME4 BM2,stock,one_factor,-0.09530252099303485,-1.0468119515061278,0.09530252099303485,False
ME4 BM3,stock,one_factor,0.18932268646799807,1.962166517071337,0.18932268646799807,False
ME4 BM4,stock,one_factor,0.3932417081835033,3.433016541855021,0.3932417081835033,True
ME4 BM5,stock,one_factor,0.44308233062749597,3.0002288796188856,0.44308233062749597,True
BIG LoBM,stock,one_factor,-0.04303842161841627,-0.4648569103430756,0.04303842161841627,False
ME5 BM2,stock,one_factor,-0.0660716800299473,-0.8670043077864535,0.0660716800299473,False
ME5 BM3,stock,one_factor,-0.0018420078223713777,-0.01863967280952602,0.0018420078223713777,False
ME5 BM4,stock,one_factor,0.16240471354581762,1.5356754420415286,0.16240471354581762,False
BIG HiBM,stock,one_factor,0.17169940314785373,1.1910184158167494,0.17169940314785373,False
SHORT_TERM,bond,one_factor,0.05688425918371307,26.407313141981145,0.05688425918371307,True
LONG_TERM,bond,one_factor,0.10401558648653683,17.86150134231768,0.10401558648653683,True
AAA,bond,one_factor,0.12238597180183612,20.458724983472486,0.12238597180183612,True
AA,bond,one_factor,0.14075635711713616,22.82574330599739,0.14075635711713616,True
