portfolio,type,alpha,beta_Mkt-RF,t_Mkt-RF,r_squared
SMALL LoBM,stock,-0.2688807731404584,1.4169234150814363,28.118981344772248,0.699295230768058
ME1 BM2,stock,0.15582177835089936,1.2422176858729166,28.379595461767252,0.7031608407761187
ME1 BM3,stock,0.26471129925471293,1.1533077161413288,28.699259982593052,0.7078153022117966
ME1 BM4,stock,0.4275362551257099,1.0719381995657034,27.365639126972663,0.6877520382972482
SMALL HiBM,stock,0.5380523552717085,1.100103207754741,24.82957616571844,0.6445402940637149
ME2 BM1,stock,-0.1922174657316611,1.4266702739976367,37.60913496507203,0.8062067456927963
ME2 BM2,stock,0.13895938427107918,1.230619414549209,37.29635048431721,0.8035837598175655
ME2 BM3,stock,0.3844474323973469,1.111763586728193,35.636058311534406,0.7888105168007327
ME2 BM4,stock,0.4752836787985154,1.0313257038657628,35.061303855057744,0.7833422053024026
ME2 BM5,stock,0.5191691406533637,1.1272540152132555,30.763231093780963,0.7356916658693733
ME3 BM1,stock,-0.11687605453919027,1.3477435962147748,46.19641136852495,0.8625767582398904
ME3 BM2,stock,0.17238216424172537,1.1568954701604244,45.50465821184905,0.8589606012976425
ME3 BM3,stock,0.2521734561280757,1.0343860581329978,41.43919203085286,0.8347273462849553
ME3 BM4,stock,0.42614035409825857,0.972309875380202,39.23612227414775,0.8190982539587675
ME3 BM5,stock,0.4819905597292283,1.0709657403346908,31.42418408997827,0.7438754877083423
ME4 BM1,stock,-0.04058829518993563,1.2179891551905297,54.886153474196924,0.8985828396496602
ME4 BM2,stock,-0.09530252099303485,1.1224911861265876,56.75789189933396,0.9045334882393634
ME4 BM3,stock,0.18932268646799807,1.039440623952896,49.59203408063896,0.8785440942368751
ME4 BM4,stock,0.3932417081835033,0.9731289931731832,39.108014514779306,0.8181270422570803
ME4 BM5,stock,0.44308233062749597,1.0798977707590174,33.66135809420765,0.7691921839205098
BIG LoBM,stock,-0.04303842161841627,1.0047994887033498,49.95988092452751,0.8801123996462089
ME5 BM2,stock,-0.0660716800299473,0.9824559567804186,59.34689873464605,0.9119639534514604
ME5 BM3,stock,-0.0018420078223713777,0.8708321466480423,40.5658238718012,0.8287659216823646
ME5 BM4,stock,0.16240471354581762,0.8398845625699976,36.559432172926996,0.7972076786642239
BIG HiBM,stock,0.17169940314785373,0.8690088587541588,27.749357271785453,0.6937010970201875
SHORT_TERM,bond,0.05688425918371307,-5.169417635789767e-05,-0.10973179136851022,3.551810726010185e-05
LONG_TERM,bond,0.10401558648653683,0.002969763675874409,2.331847633119931,0.01578664684535569
AAA,bond,0.12238597180183612,0.003247809364707253,2.482539649684894,0.017855340974227252
AA,bond,0.14075635711713616,0.00352585505354005,2.6144485836914586,0.019764727830185125
A,bond,0.15912674243243674,0.0038039007423728306,2.7285609215911033,0.021489828810281386
BBB,bond,0.17749712774773707,0.004081946431205655,2.826289410222884,0.023020720774398984
LOW_GRADE,bond,0.1958675130630374,0.004359992120038468,2.909275816790309,0.024359037369324654
