portfolio,type,alpha,beta_TERM,t_TERM,beta_DEF,t_DEF,r_squared
SMALL LoBM,stock,-1.3748710464029785,0.31316693488580866,0.9034720817836939,1.168385820451747,1.2424993967220654,0.010576111535972599
ME1 BM2,stock,-1.5256224506640015,0.38652693676782157,1.2834596012424537,1.5398465256506484,1.8847378365791383,0.022882853582272933
ME1 BM3,stock,-1.666191732852042,0.42626601982096823,1.536933798806937,1.6869991213691538,2.2421278716287674,0.03222832374533646
ME1 BM4,stock,-1.2328411564611157,0.3549482184341211,1.3537744229919018,1.4935088738554878,2.099714197883244,0.027203424432478918
SMALL HiBM,stock,-1.0756147224244685,0.4196250467706765,1.5081209256007324,1.3885178806717702,1.8394895016986303,0.02517662477138749
ME2 BM1,stock,-1.8030615011773987,0.33085403764153365,1.0222357452761839,1.60756274201462,1.830853648489323,0.019015365785438165
ME2 BM2,stock,-1.8768791222031018,0.37288114451379667,1.3433321772921827,1.85278106551037,2.460413901023561,0.033393108046717246
ME2 BM3,stock,-1.133646055378517,0.47417196494925345,1.8702522195547429,1.2447906636105577,1.809804657662853,0.030134658849451768
ME2 BM4,stock,-1.288159552404071,0.4319332608041892,1.8381316993142138,1.484250524832879,2.328296372003324,0.03853796637959983
ME2 BM5,stock,-0.9503658142437642,0.3552988092320412,1.3298730480351986,1.3413857686032995,1.8507220547064682,0.022961584497658616
ME3 BM1,stock,-1.814347214807432,0.4200883355298747,1.4260441423015047,1.5553930933962914,1.9462722296359174,0.025704367009157014
ME3 BM2,stock,-1.8114474231955453,0.437560186948658,1.7402029678320603,1.7232964415823753,2.526347982010299,0.04070309854962284
ME3 BM3,stock,-1.1918118860029205,0.3832986120893152,1.6717065236679345,1.2521912180712287,2.013096147556101,0.030325457182676097
ME3 BM4,stock,-1.0261319835721132,0.40331759004508644,1.857296373332397,1.2139850940597061,2.060717575061002,0.03405863933843534
ME3 BM5,stock,-0.9754012206506627,0.2863060787766782,1.13437442641121,1.3877322810242558,2.0267613909111306,0.023236042973080684
ME4 BM1,stock,-1.6111913916861738,0.39132319263723303,1.501963670863008,1.425405818924658,2.0166635140516527,0.02788902151156336
ME4 BM2,stock,-1.8534224754358135,0.34959906723672396,1.4666330262967382,1.6065106131909201,2.484310458780231,0.03561903200740302
ME4 BM3,stock,-1.5362263480086036,0.33318079006974927,1.4892489649537177,1.5649408628717252,2.5784360081631723,0.0377637027478287
ME4 BM4,stock,-0.8696088335907425,0.3875149397542682,1.7767799234755695,1.0612491271196685,1.793633090159321,0.02841276907185497
ME4 BM5,stock,-1.1106516839013112,0.4479763438288635,1.7967741306982095,1.2948234231504558,1.9143441958376406,0.03064018256077583
BIG LoBM,stock,-1.0852617637814432,0.4538638594964885,2.088883763338682,0.7987122335235977,1.355033655859464,0.027041683516724646
ME5 BM2,stock,-1.6169170414720986,0.3676540029339708,1.7722545076611376,1.3471065836972833,2.393645452474227,0.03867516751808886
ME5 BM3,stock,-0.9453979539763387,0.3525601073770985,1.814239597550023,0.7747951504276117,1.4696686801608745,0.02426409518344197
ME5 BM4,stock,-1.0558408714017053,0.2902319274902629,1.5228121471544136,1.0818331265045797,2.0923411461775956,0.029440347542300516
BIG HiBM,stock,-1.3916067089971265,0.34806441891874557,1.6518790066166533,1.338503934913729,2.3415817795800136,0.035773605497437244
SHORT_TERM,bond,0.012573898880513044,0.01759415929745667,13.875544368161673,0.020110618173092225,5.861266888615008,0.49224031362431975
LONG_TERM,bond,0.0033834558921934234,0.0824033956737692,113.50705211402668,-0.0011391764196875807,-0.579900240768583,0.9775846614087992
AAA,bond,0.0033834558921916878,0.08240339567376928,113.50705211402713,0.015527490246979418,7.9043027727212545,0.9788024201314571
AA,bond,0.00338345589219147,0.0824033956737693,113.50705211402916,0.03219415691364591,16.38850578621113,0.9800904648329072
A,bond,0.003383455892191814,0.08240339567376986,113.5070521140302,0.04886082358031175,24.872708799700582,0.9814016765968973
BBB,bond,0.003383455892190784,0.08240339567377002,113.50705211402877,0.06552749024697892,33.3569118131902,0.9826985099728326
LOW_GRADE,bond,0.003383455892190811,0.08240339567376982,113.50705211403219,0.08219415691364566,41.84111482668132,0.9839532197762431
