Type,Label,Mean,Std,N,T_Stat
Stock,SMALL LoBM,0.4052760508071941,8.167754754941313,342,0.9176166906158965
Stock,ME1 BM2,0.7111869617272059,6.960220191737964,342,1.8896173159022374
Stock,ME1 BM3,0.6929701225434021,6.6721885870003135,342,1.9206987353603144
Stock,ME1 BM4,0.8787713636395066,6.402728036302966,342,2.538188629305942
Stock,SMALL HiBM,1.0555718634795446,6.653040584506287,342,2.9341390122556583
Stock,ME2 BM1,0.4223177627283797,7.659757276525067,342,1.019617764486026
Stock,ME2 BM2,0.6069050992224809,6.856941221842708,342,1.6368293840128345
Stock,ME2 BM3,0.8182295255248311,6.198525861524569,342,2.4411798825087168
Stock,ME2 BM4,0.9641027451433184,6.0671466469757345,342,2.9386771780560546
Stock,ME2 BM5,0.9475903400543075,6.4954319397702145,342,2.6978987150385967
Stock,ME3 BM1,0.34507259769894055,6.7382118751687035,342,0.9470629861618763
Stock,ME3 BM2,0.8797702589662169,6.250521484458528,342,2.6029515060070856
Stock,ME3 BM3,0.7979096120129273,5.940401081106006,342,2.483996510457974
Stock,ME3 BM4,0.9056801705531119,5.5638739383902305,342,3.0103059059516903
Stock,ME3 BM5,1.0402814911038052,5.8740745651849124,342,3.2750992788535744
Stock,ME4 BM1,0.4600618061641429,5.982214702161902,342,1.4222214922131797
Stock,ME4 BM2,0.5276794979511064,5.888160775958999,342,1.6573094774503603
Stock,ME4 BM3,0.6826417486517564,5.563258217952856,342,2.269220404413615
Stock,ME4 BM4,0.8871048055022254,5.733071145742624,342,2.861545485546545
Stock,ME4 BM5,0.93188669915241,6.25757044655557,342,2.754041109004704
Stock,BIG LoBM,0.3924652480914761,4.875646845516019,342,1.4886137251134752
Stock,ME5 BM2,0.31401534014025684,4.843822644272278,342,1.1988799149345089
Stock,ME5 BM3,0.3006999750447437,4.896635064757445,342,1.1356609869904977
Stock,ME5 BM4,0.5066040411735725,5.075838918267102,342,1.845754226438618
Stock,BIG HiBM,0.6091568630094667,5.988082051517634,342,1.8812843899100433
Bond,SHORT_TERM,0.05686461388073882,0.03958294013041956,341,26.528410830333677
Bond,LONG_TERM,0.10514418377321297,0.10786195327185866,341,18.000897658570665
Bond,AAA,0.12362023460410125,0.11091691766950572,341,20.58111790836777
Bond,AA,0.14209628543499025,0.11444857037408042,341,22.927122029578893
Bond,A,0.16057233626587986,0.11841426801581649,341,25.040551001589762
Bond,BBB,0.17904838709676915,0.12277195710933375,341,26.930748469783776
Bond,LOW_GRADE,0.1975244379276585,0.12748144574358294,341,28.612186293209916
Factor,Mkt-RF,0.41522406570704107,4.539240294418593,342,1.6916573340442917
Factor,SMB,0.29058053724117183,3.0106991245937573,342,1.7848931347479908
Factor,HML,0.4148037159807471,2.4327810023134444,342,3.153208405742678
Factor,TERM,1.2554093567251434,1.2981923962282325,342,17.8837814191623
Factor,DEF,1.1080994152046737,0.4785310631060733,342,42.82344916606981
