portfolio,type,alpha,beta_TERM,t_TERM,beta_DEF,t_DEF,r_squared
SMALL LoBM,stock,-1.638427468421406,0.2274747764264074,0.6256836085961713,1.5866171684236363,1.6086618174858496,0.012348050938511435
ME1 BM2,stock,-1.6549718818271264,0.4200544725875245,1.364980035904691,1.6594346166982363,1.9877048856264907,0.02553771629636359
ME1 BM3,stock,-1.9088704517872477,0.44159345943801687,1.5027402742385227,1.8477223120863724,2.3177632380217417,0.03307419230656117
ME1 BM4,stock,-1.5182827720110332,0.3766598610416289,1.333427543336962,1.736479412761602,2.266004626201619,0.029753476528158962
SMALL HiBM,stock,-1.2308615593526206,0.39600280554797984,1.3464662795604767,1.6147357997904268,2.023810134244888,0.025868511516036308
ME2 BM1,stock,-1.456652130308755,0.40954831006703907,1.2025402138496595,1.2316756906652733,1.33309749900037,0.014552688728593943
ME2 BM2,stock,-2.45839062892185,0.5240663037231326,1.7448428604940274,2.1725288849297772,2.666285907073592,0.043574067517684445
ME2 BM3,stock,-1.2682165529733254,0.3520541587294392,1.2839696778682403,1.4840491484705565,1.9950998973884924,0.02459505586195565
ME2 BM4,stock,-1.3480588226444175,0.37957634136714846,1.4191685085860704,1.65656425051435,2.2830435110514427,0.031245528256268362
ME2 BM5,stock,-0.9756875666742123,0.3469060836756456,1.2042140890025477,1.3426311240336108,1.7179858083632449,0.01948844484167045
ME3 BM1,stock,-1.9781706097215617,0.39941914233198683,1.3409861898396216,1.6440841443322045,2.0346538991821483,0.025970347141073047
ME3 BM2,stock,-1.9323953908679625,0.3980963975535111,1.4526754507556274,2.086808887124818,2.8069462783952894,0.04179339310750518
ME3 BM3,stock,-1.3312801953913764,0.417720327448781,1.5937091727118045,1.4482272779959893,2.0367196778474557,0.029548349202444646
ME3 BM4,stock,-1.2097314608499758,0.28059013477550254,1.1428883958431544,1.5911533988811688,2.38899119942172,0.029411925531623195
ME3 BM5,stock,-0.8592920736133807,0.3428399494577446,1.3185198557660835,1.325845916124223,1.8795737914531716,0.023251054558191653
ME4 BM1,stock,-1.4727848404391395,0.4852852210769981,1.8365189357099396,1.1944912353719697,1.666296898912403,0.02740578254213899
ME4 BM2,stock,-1.843307223404938,0.3613344920680804,1.3941022230294586,1.7303176888258682,2.46083287828242,0.034121172631324415
ME4 BM3,stock,-1.5498861935468362,0.43277556100209846,1.769752184676302,1.5244277096225816,2.297881543953664,0.036848798926162885
ME4 BM4,stock,-0.9028830265591117,0.4607061257865376,1.8179666044042506,1.0934154773689981,1.5904433507181601,0.026011399179425188
ME4 BM5,stock,-1.157388384328387,0.49272384664445174,1.7833084119896936,1.3272319576579665,1.770682847762871,0.028159224450857057
BIG LoBM,stock,-0.9374578338419253,0.4699312123509831,2.180247968044303,0.6677803731121986,1.1420268719934512,0.025807717685078946
ME5 BM2,stock,-1.5792057898904472,0.37168838424724887,1.7441607269525337,1.287429661170927,2.2269070924553978,0.03514762508621361
ME5 BM3,stock,-1.0888263549100685,0.3272304325942731,1.5074431969919402,0.8832404111412417,1.4998135553796097,0.020324270017228918
ME5 BM4,stock,-0.988602502624073,0.3406756232857148,1.5148762739540143,0.9633785236854494,1.5790800203468176,0.0214917462419707
BIG HiBM,stock,-2.020068770740585,0.41942486343772584,1.5970117001993283,1.897551525517938,2.6632907276922713,0.0411094744936914
SHORT_TERM,bond,0.012573898880513044,0.01759415929745667,13.875544368161673,0.020110618173092225,5.861266888615008,0.49224031362431975
LONG_TERM,bond,0.0033834558921934234,0.0824033956737692,113.50705211402668,-0.0011391764196875807,-0.579900240768583,0.9775846614087992
AAA,bond,0.0033834558921916878,0.08240339567376928,113.50705211402713,0.015527490246979418,7.9043027727212545,0.9788024201314571
AA,bond,0.00338345589219147,0.0824033956737693,113.50705211402916,0.03219415691364591,16.38850578621113,0.9800904648329072
A,bond,0.003383455892191814,0.08240339567376986,113.5070521140302,0.04886082358031175,24.872708799700582,0.9814016765968973
BBB,bond,0.003383455892190784,0.08240339567377002,113.50705211402877,0.06552749024697892,33.3569118131902,0.9826985099728326
LOW_GRADE,bond,0.003383455892190811,0.08240339567376982,113.50705211403219,0.08219415691364566,41.84111482668132,0.9839532197762431
